File,Key,Context,English,"Chinese Simplified",Russian
translations.csv,app_version,app_version,"Version: {app_version}",软件版本,"Версия приложения {app_version}"
translations.csv,loading,loading,Loading…,载入,Загрузка…
translations.csv,terms_and_conditions,terms_and_conditions,"Terms & Conditions",条款和条件,"Terms & Conditions"
translations.csv,privacy_policy,privacy_policy,"Privacy Policy",隐私政策,"Privacy Policy"
translations.csv,home_page.title,home_page.title,@:today,@:today,@:today
translations.csv,empty_card.now,empty_card.now,"@:mood now",@:today,"@:mood сейчас"
translations.csv,empty_card.part_of_day,empty_card.part_of_day,"@:mood {part_of_day_in_instrumental_case}","@:mood {part_of_day_in_instrumental_case}","@:mood {part_of_day_in_instrumental_case}"
translations.csv,bottom_navigation_bar.home,bottom_navigation_bar.home,Home,@:mood,Главная
translations.csv,bottom_navigation_bar.chart,bottom_navigation_bar.chart,Chart,"@:mood {part_of_day_in_instrumental_case}",График
translations.csv,bottom_navigation_bar.events,bottom_navigation_bar.events,Events,Events,События
translations.csv,bottom_navigation_bar.calendar,bottom_navigation_bar.calendar,Calendar,首页,Календарь
translations.csv,subscription_banner.title,subscription_banner.title,"Free access","图表 ","Бесплатный доступ"
translations.csv,subscription_banner.description,subscription_banner.description,"All beta testers can use the app for free.",活动,"Все бета-тестеры могут использовать приложение бесплатно."
translations.csv,profile_screen.title,profile_screen.title,Profile,日历,Профиль
translations.csv,profile_screen.menu.account,profile_screen.menu.account,Account,Account,Аккаунт
translations.csv,profile_screen.menu.account.not_authorized,profile_screen.menu.account.not_authorized,"Not authorized",免费使用,"Не авторизован"
translations.csv,profile_screen.menu.notifications,profile_screen.menu.notifications,Notifications,所有测试者均可免费使用该应用,Уведомления
translations.csv,profile_screen.menu.notifications.no_notifications,profile_screen.menu.notifications.no_notifications,@:no_notifications,@:no_notifications,@:no_notifications
translations.csv,profile_screen.menu.notifications.permissions_missing,profile_screen.menu.notifications.permissions_missing,"Permissions missing",设备,"Отсутствуют разрешения"
translations.csv,profile_screen.menu.language,profile_screen.menu.language,Language,账户,Язык
translations.csv,profile_screen.menu.about,profile_screen.menu.about,About,"未经授权 ","О приложении"
translations.csv,profile_screen.menu.contact,profile_screen.menu.contact,"Contact us",通知,Связаться
translations.csv,about_screen.title,about_screen.title,@:profile_screen.menu.about,没有通知,@:profile_screen.menu.about
translations.csv,about_screen.menu.terms,about_screen.menu.terms,@:terms_and_conditions,语言,@:terms_and_conditions
translations.csv,about_screen.menu.privacy,about_screen.menu.privacy,@:privacy_policy,了解App,@:privacy_policy
translations.csv,about_screen.menu.onboarding,about_screen.menu.onboarding,"User manual",与我们联系,"Пройти обучение"
translations.csv,language_screen.title,language_screen.title,@:profile_screen.menu.language,@:profile_screen.menu.language,@:profile_screen.menu.language
translations.csv,events_page.title,events_page.title,"Events for all time",@:profile_screen.menu.about,"События за всё время"
translations.csv,event_influence.in_moment,event_influence.in_moment,"In the moment",@:terms_and_conditions,"В моменте"
translations.csv,event_influence.in_future,event_influence.in_future,"In future",@:privacy_policy,Потом
translations.csv,event_influence_level.super_down,event_influence_level.super_down,"Much worse",用户手册,"Значительно хуже"
translations.csv,event_influence_level.down,event_influence_level.down,Worse,Worse,Хуже
translations.csv,event_influence_level.neutral,event_influence_level.neutral,"No change",@:profile_screen.menu.language,"Не меняется"
translations.csv,event_influence_level.up,event_influence_level.up,Better,Better,Лучше
translations.csv,event_influence_level.super_up,event_influence_level.super_up,"Much better","所有时间的活动 ","Значительно лучше"
translations.csv,frequency_diagram.title.event,frequency_diagram.title.event,"{chart_mode} with «{event}»","在当下 ","{chart_mode} с событием «{event}»"
translations.csv,frequency_diagram.title.emotion,frequency_diagram.title.emotion,"{chart_mode} with «{emotion}»",后来,"{chart_mode} с эмоцией «{emotion}»"
translations.csv,mood_chart_page.popup.filter.title,mood_chart_page.popup.filter.title,Display,差很多,Отображение
translations.csv,mood_chart_page.popup.filter.all_button.title,mood_chart_page.popup.filter.all_button.title,"All events",更差,"Все события"
translations.csv,mood_chart_page.popup.filter.action_button.title,mood_chart_page.popup.filter.action_button.title,Apply,不变,Применить
translations.csv,mood_chart_page.tooltip.details.more,mood_chart_page.tooltip.details.more,"More details",更好,Подробнее
translations.csv,mood_chart_page.tooltip.details.yet,mood_chart_page.tooltip.details.yet,"More {overflow_events_count}…",好很多,"Еще {overflow_events_count}…"
translations.csv,mood_assessment_screen.title.now,mood_assessment_screen.title.now,"How are you feeling?","How are you feeling?","Как настроение?"
translations.csv,mood_assessment_screen.title.part_of_day.today,mood_assessment_screen.title.part_of_day.today,"@:mood {part_of_day_in_instrumental_case}","{chart_mode} 活动 «{event}»","@:mood {part_of_day_in_instrumental_case}"
translations.csv,mood_assessment_screen.title.part_of_day.yesterday,mood_assessment_screen.title.part_of_day.yesterday,"@:yesterday {part_of_day_in_instrumental_case}","{chart_mode} 情感 «{emotion}»","@:yesterday {part_of_day_in_instrumental_case}"
translations.csv,mood_assessment_screen.title.part_of_day.date,mood_assessment_screen.title.part_of_day.date,"{date} {part_of_day_in_instrumental_case}","{date} {part_of_day_in_instrumental_case}","{date} {part_of_day_in_instrumental_case}"
translations.csv,mood_assessment_screen.title.update.today.with_time,mood_assessment_screen.title.update.today.with_time,"@:today {part_of_day_in_instrumental_case} at {time}",表示,"@:today {part_of_day_in_instrumental_case} в {time}"
translations.csv,mood_assessment_screen.title.update.today.without_time,mood_assessment_screen.title.update.today.without_time,"@:mood {part_of_day_in_instrumental_case}",所有的活动,"@:mood {part_of_day_in_instrumental_case}"
translations.csv,mood_assessment_screen.title.update.yesterday.with_time,mood_assessment_screen.title.update.yesterday.with_time,"@:yesterday {part_of_day_in_instrumental_case} at {time}",确认,"@:yesterday {part_of_day_in_instrumental_case} в {time}"
translations.csv,mood_assessment_screen.title.update.yesterday.without_time,mood_assessment_screen.title.update.yesterday.without_time,"@:yesterday {part_of_day_in_instrumental_case}",更多消息,"@:yesterday {part_of_day_in_instrumental_case}"
translations.csv,mood_assessment_screen.title.update.date.with_time,mood_assessment_screen.title.update.date.with_time,"{date} {part_of_day_in_instrumental_case} at {time}","更多 {overflow_events_count}…","{date} {part_of_day_in_instrumental_case} в {time}"
translations.csv,mood_assessment_screen.title.update.date.without_time,mood_assessment_screen.title.update.date.without_time,"{date} {part_of_day_in_instrumental_case}","{date} {part_of_day_in_instrumental_case}","{date} {part_of_day_in_instrumental_case}"
translations.csv,mood_assessment_screen.action_button.title,mood_assessment_screen.action_button.title,Assess,心情怎么样？,Оценить
translations.csv,mood_assessment_screen.delete_popup.title,mood_assessment_screen.delete_popup.title,"Delete the assessment?","@:mood {part_of_day_in_instrumental_case}","Удалить оценку?"
translations.csv,select_events_screen.title,select_events_screen.title,@:events,"@:yesterday {part_of_day_in_instrumental_case}",@:events
translations.csv,select_events_screen.create_event_button.title,select_events_screen.create_event_button.title,"Add new event","{date} {part_of_day_in_instrumental_case}","Добавить новое событие"
translations.csv,select_events_screen.search.hint_text,select_events_screen.search.hint_text,"Events search","@:today {part_of_day_in_instrumental_case} at {time}","Поиск событий"
translations.csv,select_events_screen.search.not_found,select_events_screen.search.not_found,"The is no\n{search_text} event","@:mood {part_of_day_in_instrumental_case}","Нет события\n«{search_text}»"
translations.csv,select_events_screen.subtitle.recent,select_events_screen.subtitle.recent,"Recent events","@:yesterday {part_of_day_in_instrumental_case} at {time}","Недавние события"
translations.csv,select_events_screen.subtitle.all,select_events_screen.subtitle.all,"All events","@:yesterday {part_of_day_in_instrumental_case}","Все события"
translations.csv,user_event_title_screen.title.create,user_event_title_screen.title.create,"New event","{date} {part_of_day_in_instrumental_case} at {time}","Новое событие"
translations.csv,user_event_title_screen.title.update,user_event_title_screen.title.update,"Change event","{date} {part_of_day_in_instrumental_case}","Изменение события"
translations.csv,user_event_title_screen.delete_popup.title,user_event_title_screen.delete_popup.title,"Delete event ""{event}""",评估,"Удалить событие «{event}»"
translations.csv,user_event_title_screen.text_length_limit,user_event_title_screen.text_length_limit,"Text must not exceed 27 characters",删除评估,"Текст не должен превышать 27 символов"
translations.csv,user_event_title_screen.input.hint_text,user_event_title_screen.input.hint_text,"Enter event name","Enter event name","Введите название события"
translations.csv,user_event_select_emoji_screen.title,user_event_select_emoji_screen.title,"Event Icon",@:events,"Иконка события"
translations.csv,select_emotions_screen.title,select_emotions_screen.title,Emotions,添加新的活动,Эмоции
translations.csv,select_emotions_screen.stress_level.title,select_emotions_screen.stress_level.title,"Stress level",活动检索,"Уровень стресса"
translations.csv,select_emotions_screen.stress_level.tooltip,select_emotions_screen.stress_level.tooltip,"The level of stress on a scale of 1 to 7",没有活动,"Уровень стресса по 7-ми бальной шкале."
translations.csv,select_emotions_screen.user_emotions.title,select_emotions_screen.user_emotions.title,"My emotions",最近的活动,"Мои эмоции"
translations.csv,select_emotions_screen.basic_emotions.title,select_emotions_screen.basic_emotions.title,"Basic emotions",所有的活动,"Базовые эмоции"
translations.csv,select_emotions_screen.basic_emotions.tooltip,select_emotions_screen.basic_emotions.tooltip,"Basic human emotions (joy, fear, anger and sadness) of varying degrees of intensity.\nFor example, a strong feeling of joy corresponds to the emotion ""@:emotion.happy-3"".","Basic human emotions (joy, fear, anger and sadness) of varying degrees of intensity.\nFor example, a strong feeling of joy corresponds to the emotion ""@:emotion.happy-3"".","Базовые эмоции человека (радость, страх, злость и грусть) разной степени интенсивности.\nНапример сильное чувство радости соответствует эмоции «@:emotion.happy-3»."
translations.csv,select_emotions_screen.society.title,select_emotions_screen.society.title,"Attitude towards people",新的活动,"Отношение к людям"
translations.csv,select_emotions_screen.society.tooltip,select_emotions_screen.society.tooltip,"How you feel about people at the moment",更改活动,"Что ты испытываешь к людям в данный момент."
translations.csv,select_emotions_screen.self_rating.title,select_emotions_screen.self_rating.title,Self-esteem,"删除活动""{event}""",Самооценка
translations.csv,select_emotions_screen.self_rating.tooltip,select_emotions_screen.self_rating.tooltip,"How confident you are.\n(Ignore if you don't feel confident or insecure)",文字不得超过27字,"Насколько ты уверен в себе.\n(пропусти если не ощущаешь особой уверенности или неуверенности)"
translations.csv,select_emotions_screen.concentration.title,select_emotions_screen.concentration.title,Concentration,写活动名称,Концентрация
translations.csv,select_emotions_screen.concentration.tooltip,select_emotions_screen.concentration.tooltip,"How concentrated you are.\n(Ignore if concentration is normal)",活动图标,"Насколько ты сконцентрирован.\n(пропусти если концентрация в норме)"
translations.csv,select_emotions_screen.other.title,select_emotions_screen.other.title,Others,Others,Остальные
translations.csv,select_emotions_screen.other.tooltip,select_emotions_screen.other.tooltip,"All other emotes are listed here.\nIf the desired emote is not available, create your own.","情感 ","Здесь приведены все остальные эмоции.\nЕсли нужной эмоции нет создай свою."
translations.csv,select_emotions_screen.stress_slider.low,select_emotions_screen.stress_slider.low,Low,应激水平,Низкий
translations.csv,select_emotions_screen.stress_slider.high,select_emotions_screen.stress_slider.high,High,7点刻度上的应激水平,Высокий
translations.csv,note_screen.title,note_screen.title,Note,"基本情感 ",Заметка
translations.csv,note_screen.tooltip,note_screen.tooltip,"Enter your note...","不同程度的人类基本情感  (开心，害怕，生气，难过）。例如，强烈的喜悦感对应的是一种""@:emotion.happy-3""情绪","Оставь свою заметку…"
translations.csv,note_screen.description,note_screen.description,"Notes help you remember the reasons for your mood. All your notes are conveniently viewed in the calendar.",对人的态度,"Заметки помогают вспомнить чем было\nвызвано твое настроение. Все твои заметки\nудобно просматривать в календаре."
translations.csv,notifications_screen.title,notifications_screen.title,@:profile_screen.menu.notifications,现在对人有什么感觉？,@:profile_screen.menu.notifications
translations.csv,notifications_screen.popup.title,notifications_screen.popup.title,"Set notification time",自我评价,"Выбери время"
translations.csv,email_to_support.subject,email_to_support.subject,"Hello, Mind Tracker!",你有多自信？（如果没有自信的感觉或者没有不自信的感觉，请跳过）,"Привет, Mind Tracker!"
translations.csv,account_screen.title,account_screen.title,@:profile_screen.menu.account,专心,@:profile_screen.menu.account
translations.csv,account_screen.exit_popup.title,account_screen.exit_popup.title,"Do you want to sign out?","你有多专心？（如果专心正常, 请跳过）","Выйти из аккаунта?"
translations.csv,account_screen.exit_popup.action_button_text,account_screen.exit_popup.action_button_text,"Sign out",其他,Выйти
translations.csv,onboarding.title.1,onboarding.title.1,"Emotional health",这是其他所有的情感。如果没有合适的情感，请选择最合适的情感。,"Эмоциональное здоровье"
translations.csv,onboarding.title.2,onboarding.title.2,"Influences and events",低,"Влияния и события"
translations.csv,onboarding.title.3,onboarding.title.3,"Analyze and observe",高,"Анализируй и наблюдай"
translations.csv,onboarding.text.1,onboarding.text.1,"Mark your mood throughout the day, you will have a better understanding of yourself and your feelings","Mark your mood throughout the day, you will have a better understanding of yourself and your feelings","Отмечай настроение в течение дня, это помогает лучше понимать себя и свои чувства."
translations.csv,onboarding.text.2,onboarding.text.2,"Add events and see how they affect the mood in the moment and in the future.",注解,"Добавляй события и следи, как они влияют на настроение в моменте и в перспективе."
translations.csv,onboarding.text.3,onboarding.text.3,"See how simply observing your mood improves your emotional balance and helps you manage stress better.",输入你的注解,"Убедись, как простое наблюдение за настроением улучшает эмоциональный баланс и помогает лучше справляться со стрессом."
translations.csv,onboarding.action_button.title,onboarding.action_button.title,Start,注解能帮助你记住导致你心情的原因。你的所有注解都可以在日历中轻松查看。,Начать
translations.csv,sign_in_with_socials_screen.title,sign_in_with_socials_screen.title,"Your mood tracker","Your mood tracker","Трекер твоего настроения"
translations.csv,sign_in_with_socials_screen.email_button.title,sign_in_with_socials_screen.email_button.title,"Login via email",@:profile_screen.menu.notifications,"Войти через почту"
translations.csv,sign_in_with_socials_screen.google_button.title,sign_in_with_socials_screen.google_button.title,"Login with Google",请选时间,"Войти через Google"
translations.csv,register_with_email_screen.title,register_with_email_screen.title,Registration,Registration,Регистрация
translations.csv,register_with_email_screen.error.email_already_in_use,register_with_email_screen.error.email_already_in_use,"Email already in use",我想报告一个问题!,"Почта уже занята"
translations.csv,register_with_email_screen.error.invalid_email,register_with_email_screen.error.invalid_email,@:error.invalid_email,@:error.invalid_email,@:error.invalid_email
translations.csv,register_with_email_screen.error.too_many_requests,register_with_email_screen.error.too_many_requests,@:error.too_many_requests,@:profile_screen.menu.account,@:error.too_many_requests
translations.csv,register_with_email_screen.error.unknown,register_with_email_screen.error.unknown,"Failed to register",要登出吗?,"Не удалось зарегистрироваться"
translations.csv,register_with_email_screen.action_button.title,register_with_email_screen.action_button.title,Register,登出,Зарегистрироваться
translations.csv,sign_in_with_email_screen.title,sign_in_with_email_screen.title,"Login via email","Login via email","Авторизация через почту"
translations.csv,sign_in_with_email_screen.error.user_not_found,sign_in_with_email_screen.error.user_not_found,@:error.user_not_found,"情感健康 ",@:error.user_not_found
translations.csv,sign_in_with_email_screen.error.invalid_email,sign_in_with_email_screen.error.invalid_email,@:error.invalid_email,影响和活动,@:error.invalid_email
translations.csv,sign_in_with_email_screen.error.too_many_requests,sign_in_with_email_screen.error.too_many_requests,@:error.too_many_requests,分析和观察,@:error.too_many_requests
translations.csv,sign_in_with_email_screen.error.wrong_password,sign_in_with_email_screen.error.wrong_password,"Wrong password",记下你一天中的心情，这有帮助你更好地了解自己和自己的感受。,"Неверный пароль"
translations.csv,sign_in_with_email_screen.error.unknown,sign_in_with_email_screen.error.unknown,"Failed to login",添加活动并查看它们如何影响当下和未来的情感,"Не удалось авторизоваться"
translations.csv,sign_in_with_email_screen.enter_button.title,sign_in_with_email_screen.enter_button.title,Login,看看简单地观察你的情感如何改善你的情感平衡并帮助你更好地应对应激。,Войти
translations.csv,sign_in_with_email_screen.register_button.title,sign_in_with_email_screen.register_button.title,Register,开始,Регистрация
translations.csv,sign_in_with_email_screen.forgot_password_button.title,sign_in_with_email_screen.forgot_password_button.title,"Forgot password?","Forgot password?","Забыл пароль"
translations.csv,restore_password_screen.title,restore_password_screen.title,"Password recovery",你的心情追踪器,"Восстановление пароля"
translations.csv,restore_password_screen.action_button.title,restore_password_screen.action_button.title,Restore,用邮箱登录,Восстановить
translations.csv,restore_password_screen.error.user_not_found,restore_password_screen.error.user_not_found,@:error.user_not_found,用Google登录,@:error.user_not_found
translations.csv,restore_password_screen.error.invalid_email,restore_password_screen.error.invalid_email,@:error.invalid_email,@:error.invalid_email,@:error.invalid_email
translations.csv,restore_password_screen.error.too_many_requests,restore_password_screen.error.too_many_requests,@:error.too_many_requests,登记,@:error.too_many_requests
translations.csv,restore_password_screen.error.unknown,restore_password_screen.error.unknown,"Failed to recover password",已使用的邮件,"Не удалось восстановить пароль"
translations.csv,error.user_not_found,error.user_not_found,"User not found",@:error.invalid_email,"Пользователь не найден"
translations.csv,error.invalid_email,error.invalid_email,"Invalid email",@:error.too_many_requests,"Неверный формат почты"
translations.csv,error.too_many_requests,error.too_many_requests,"Too many requests",登记失败,"Слишком много запросов"
translations.csv,events_was_not_used_message.events.title,events_was_not_used_message.events.title,"Add events",登记,"Добавляй события"
translations.csv,events_was_not_used_message.events.subtitle,events_was_not_used_message.events.subtitle,"Here you will see the influence\n of events on your mood","Here you will see the influence\n of events on your mood","Здесь ты увидишь влияние\n событий на настроение"
translations.csv,events_was_not_used_message.emotions.title,events_was_not_used_message.emotions.title,"Add emotions",用邮箱登录,"Добавляй эмоции"
translations.csv,events_was_not_used_message.emotions.subtitle,events_was_not_used_message.emotions.subtitle,"Here you will see the influence\n of emotions on your mood",@:error.user_not_found,"Здесь ты увидишь влияние\n эмоций на настроение"
translations.csv,mood,mood,Mood,@:error.invalid_email,Настроение
translations.csv,energy,energy,Energy,@:error.too_many_requests,Энергия
translations.csv,events,events,Events,密码错误,События
translations.csv,emotions,emotions,Emotions,登录错误,Эмоции
translations.csv,notes,notes,Notes,登录,Заметки
translations.csv,done,done,Done,登记,Готово
translations.csv,save,save,Save,忘记密码,Сохранить
translations.csv,delete,delete,Delete,Delete,Удалить
translations.csv,edit,edit,Edit,密码恢复,Изменить
translations.csv,cancel,cancel,Cancel,恢复,Отмена
translations.csv,next,next,Next,@:error.user_not_found,Далее
translations.csv,create,create,Create,@:error.invalid_email,Создать
translations.csv,today,today,Today,@:error.too_many_requests,Сегодня
translations.csv,yesterday,yesterday,Yesterday,"恢复密码失败 ",Вчера
translations.csv,period.week,period.week,Week,Week,Неделя
translations.csv,period.two_weeks,period.two_weeks,"2 weeks",没有用户,"2 недели"
translations.csv,period.month,period.month,Month,"无效的邮件 ",Месяц
translations.csv,period.all_time,period.all_time,"All time",尝试太多,"Всё время"
translations.csv,mood.1,mood.1,Terrible,Terrible,Ужасное
translations.csv,mood.2,mood.2,Bad,添加活动,Плохое
translations.csv,mood.3,mood.3,"Not very well",这里你能看到活动对你心情的影响,"Не очень"
translations.csv,mood.4,mood.4,Normal,添加情感,Нормальное
translations.csv,mood.5,mood.5,Good,这里你能看到情感对你心情的影响,Хорошее
translations.csv,mood.6,mood.6,Great,Great,Отличное
translations.csv,mood.7,mood.7,Adorable,Adorable,Восхитительное
translations.csv,energy.1,energy.1,"Wiped out","Wiped out","Полностью выжат"
translations.csv,energy.2,energy.2,"Energy is very low","Energy is very low","Очень мало энергии"
translations.csv,energy.3,energy.3,"Energy is low","Energy is low","Мало энергии"
translations.csv,energy.4,energy.4,"Energy is normal","Energy is normal","Энергия в норме"
translations.csv,energy.5,energy.5,"Energy is high","Energy is high","Много энергии"
translations.csv,energy.6,energy.6,"Energy is very high","Energy is very high","Очень много энергии"
translations.csv,energy.7,energy.7,Hyperactivity,Hyperactivity,Гиперактивность
translations.csv,energy_short.1,energy_short.1,"Wiped out","Wiped out","Полностью выжат"
translations.csv,energy_short.2,energy_short.2,"Very low","Very low","Очень мало"
translations.csv,energy_short.3,energy_short.3,Low,心情,Мало
translations.csv,energy_short.4,energy_short.4,Normal,"精力 ","В норме"
translations.csv,energy_short.5,energy_short.5,High,High,Много
translations.csv,energy_short.6,energy_short.6,"Very high",活动,"Очень много"
translations.csv,energy_short.7,energy_short.7,Hyperactivity,情感,Гиперактивность
translations.csv,weekday.1,weekday.1,Mon,备注,Пн
translations.csv,weekday.2,weekday.2,Tues,Tues,Вт
translations.csv,weekday.3,weekday.3,Wed,完成,Ср
translations.csv,weekday.4,weekday.4,Thurs,保存,Чт
translations.csv,weekday.5,weekday.5,Fri,Fri,Пт
translations.csv,weekday.6,weekday.6,Sat,删除,Сб
translations.csv,weekday.7,weekday.7,Sun,编辑,Вс
translations.csv,,,,,
translations.csv,month.1,month.1,January,继续,Январь
translations.csv,month.2,month.2,February,创建,Февраль
translations.csv,month.3,month.3,March,March,Март
translations.csv,month.4,month.4,April,今天,Апрель
translations.csv,month.5,month.5,May,昨天,Май
translations.csv,month.6,month.6,June,June,Июнь
translations.csv,month.7,month.7,July,一周,Июль
translations.csv,month.8,month.8,August,两周,Август
translations.csv,month.9,month.9,September,月,Сентябрь
translations.csv,month.10,month.10,October,"所有时间 ",Октябрь
translations.csv,month.11,month.11,November,November,Ноябрь
translations.csv,month.12,month.12,December,超烂,Декабрь
translations.csv,month_in_parent_case.1,month_in_parent_case.1,January,不爽,января
translations.csv,month_in_parent_case.2,month_in_parent_case.2,February,一般般,февраля
